2.85,3.11,2.96,2.97,0
2.8,3.07,2.95,2.95,2
2.8,3.06,2.92,2.92,3
2.76,3.01,2.9,2.9,5
2.75,3,2.9,2.9,7
2.76,3,2.84,2.84,8
2.72,2.94,2.82,2.83,10
2.69,2.9,2.8,2.8,12
2.67,2.9,2.8,2.8,14
2.64,2.87,2.77,2.77,15
2.62,2.82,2.75,2.75,17
2.58,2.78,2.73,2.73,19
2.55,2.75,2.71,2.71,20
2.58,2.78,2.68,2.68,22
2.55,2.72,2.67,2.67,24
2.53,2.73,2.63,2.63,26
2.49,2.67,2.61,2.61,27
2.45,2.62,2.53,2.54,29
2.38,2.55,2.47,2.47,31
2.3,2.48,2.38,2.4,32
2.25,2.45,2.35,2.35,34
2.21,2.4,2.29,2.29,36
2.15,2.32,2.2,2.2,38
2.05,2.24,2.18,2.18,39
2.02,2.21,2.1,2.1,41
1.96,2.15,2.02,2.02,43
1.91,2.1,1.97,1.97,44
1.84,2.03,1.9,1.9,46
1.77,1.95,1.85,1.85,48
1.73,1.9,1.77,1.77,50
1.67,1.85,1.73,1.73,51
